team,season,Pos_Bucket,Cap_Millions,qb_epa_per_dropback,rb_epa_per_carry,wrte_yards_per_target,ol_sack_rate
ARI,2014,DEF,62.50414,0.03144352707336204,-0.16549230512068047,7.112299465240642,0.04697986577181208
ARI,2014,OL,13.774076,0.03144352707336204,-0.16549230512068047,7.112299465240642,0.04697986577181208
ARI,2014,QB,16.676701,0.03144352707336204,-0.16549230512068047,7.112299465240642,0.04697986577181208
ARI,2014,RB,2.653397,0.03144352707336204,-0.16549230512068047,7.112299465240642,0.04697986577181208
ARI,2014,WRTE,19.077957,0.03144352707336204,-0.16549230512068047,7.112299465240642,0.04697986577181208
ARI,2015,DEF,65.599444,0.2418765019371634,-0.06138701838920619,8.681818181818182,0.04584040747028863
ARI,2015,OL,29.469242,0.2418765019371634,-0.06138701838920619,8.681818181818182,0.04584040747028863
ARI,2015,QB,11.834168,0.2418765019371634,-0.06138701838920619,8.681818181818182,0.04584040747028863
ARI,2015,RB,2.946734,0.2418765019371634,-0.06138701838920619,8.681818181818182,0.04584040747028863
ARI,2015,WRTE,21.369248,0.2418765019371634,-0.06138701838920619,8.681818181818182,0.04584040747028863
ARI,2016,DEF,69.870696,0.028132590528747295,-0.08305838113209893,6.9575471698113205,0.05967976710334789
ARI,2016,OL,19.298535,0.028132590528747295,-0.08305838113209893,6.9575471698113205,0.05967976710334789
ARI,2016,QB,20.967647,0.028132590528747295,-0.08305838113209893,6.9575471698113205,0.05967976710334789
ARI,2016,RB,5.171763,0.028132590528747295,-0.08305838113209893,6.9575471698113205,0.05967976710334789
ARI,2016,WRTE,25.016341,0.028132590528747295,-0.08305838113209893,6.9575471698113205,0.05967976710334789
ARI,2017,DEF,69.41243,-0.1216640767751196,-0.19993404297224787,6.721283783783784,0.08
ARI,2017,OL,28.917997,-0.1216640767751196,-0.19993404297224787,6.721283783783784,0.08
ARI,2017,QB,29.489118,-0.1216640767751196,-0.19993404297224787,6.721283783783784,0.08
ARI,2017,RB,3.666976,-0.1216640767751196,-0.19993404297224787,6.721283783783784,0.08
ARI,2017,WRTE,26.536525,-0.1216640767751196,-0.19993404297224787,6.721283783783784,0.08
ARI,2018,DEF,67.003426,-0.3122971529002474,-0.15666252900585212,6.097251585623678,0.09506398537477148
ARI,2018,OL,16.580007,-0.3122971529002474,-0.15666252900585212,6.097251585623678,0.09506398537477148
ARI,2018,QB,5.229993,-0.3122971529002474,-0.15666252900585212,6.097251585623678,0.09506398537477148
ARI,2018,RB,6.642019,-0.3122971529002474,-0.15666252900585212,6.097251585623678,0.09506398537477148
ARI,2018,WRTE,29.722458,-0.3122971529002474,-0.15666252900585212,6.097251585623678,0.09506398537477148
ARI,2019,DEF,62.594225,0.009720319301181092,0.009902112865797475,7.177693761814745,0.08278145695364239
ARI,2019,OL,34.014338,0.009720319301181092,0.009902112865797475,7.177693761814745,0.08278145695364239
ARI,2019,QB,8.296599,0.009720319301181092,0.009902112865797475,7.177693761814745,0.08278145695364239
ARI,2019,RB,12.140266,0.009720319301181092,0.009902112865797475,7.177693761814745,0.08278145695364239
ARI,2019,WRTE,20.263284,0.009720319301181092,0.009902112865797475,7.177693761814745,0.08278145695364239
ARI,2020,DEF,95.827303,0.03726109203521864,0.06040447203383818,7.526605504587156,0.048013245033112585
ARI,2020,OL,29.353069,0.03726109203521864,0.06040447203383818,7.526605504587156,0.048013245033112585
ARI,2020,QB,9.578101,0.03726109203521864,0.06040447203383818,7.526605504587156,0.048013245033112585
ARI,2020,RB,10.593827,0.03726109203521864,0.06040447203383818,7.526605504587156,0.048013245033112585
ARI,2020,WRTE,28.315033,0.03726109203521864,0.06040447203383818,7.526605504587156,0.048013245033112585
ARI,2021,DEF,84.877569,0.12748030889238735,-0.018097438730980676,8.103508771929825,0.06190476190476191
ARI,2021,OL,38.223833,0.12748030889238735,-0.018097438730980676,8.103508771929825,0.06190476190476191
ARI,2021,QB,11.081777,0.12748030889238735,-0.018097438730980676,8.103508771929825,0.06190476190476191
ARI,2021,RB,4.387168,0.12748030889238735,-0.018097438730980676,8.103508771929825,0.06190476190476191
ARI,2021,WRTE,33.321993,0.12748030889238735,-0.018097438730980676,8.103508771929825,0.06190476190476191
ARI,2022,DEF,75.445871,-0.12297261395330217,-0.023930187819038974,6.245669291338583,0.0647887323943662
ARI,2022,OL,44.681251,-0.12297261395330217,-0.023930187819038974,6.245669291338583,0.0647887323943662
ARI,2022,QB,16.348925,-0.12297261395330217,-0.023930187819038974,6.245669291338583,0.0647887323943662
ARI,2022,RB,6.213758,-0.12297261395330217,-0.023930187819038974,6.245669291338583,0.0647887323943662
ARI,2022,WRTE,31.74312,-0.12297261395330217,-0.023930187819038974,6.245669291338583,0.0647887323943662
ARI,2023,DEF,57.882172,-0.1689722269968293,0.03962304453253761,6.351851851851852,0.07035175879396985
ARI,2023,OL,33.142571,-0.1689722269968293,0.03962304453253761,6.351851851851852,0.07035175879396985
ARI,2023,QB,16.844656,-0.1689722269968293,0.03962304453253761,6.351851851851852,0.07035175879396985
ARI,2023,RB,11.733088,-0.1689722269968293,0.03962304453253761,6.351851851851852,0.07035175879396985
ARI,2023,WRTE,24.141884,-0.1689722269968293,0.03962304453253761,6.351851851851852,0.07035175879396985
ARI,2024,DEF,100.220395,0.11261142967317185,0.046898332672685714,7.378585086042065,0.05235602094240838
ARI,2024,OL,33.207163,0.11261142967317185,0.046898332672685714,7.378585086042065,0.05235602094240838
ARI,2024,QB,50.520833,0.11261142967317185,0.046898332672685714,7.378585086042065,0.05235602094240838
